x calibration: 0.00225010886788368, y calibration: 0.00741707533597946, z calibration: 0.00695834495127201
x calibration: 0.00649184454232454, y calibration: 0.00488400412723422, z calibration: 0.00561020988970995
x calibration: 0.00348780723288655, y calibration: 0.00271306280046701, z calibration: 0.0143643682822585
x calibration: 0.0038014855235815, y calibration: 0.00559750897809863, z calibration: 0.00865357927978039
x calibration: 0.00491943163797259, y calibration: 0.00746528524905443, z calibration: 0.00765535654500127
x calibration: 0.00480668200179934, y calibration: 0.00508338725194335, z calibration: 0.00768326409161091
x calibration: 0.00862079579383135, y calibration: 0.00884772278368473, z calibration: 0.0104171112179756
x calibration: 0.00347946956753731, y calibration: 0.00403967266902328, z calibration: 0.0062250979244709
x calibration: 0.00530610280111432, y calibration: 0.00832700077444315, z calibration: 0.0074150450527668
x calibration: 0.00304237566888332, y calibration: 0.006221704185009, z calibration: 0.00635589426383376
x calibration: 0.00519853318110108, y calibration: 0.00784321501851082, z calibration: 0.00822402723133564
x calibration: 0.00378161622211337, y calibration: 0.00330618163570762, z calibration: 0.00610799808055162
x calibration: 0.00358312227763236, y calibration: 0.0052267499268055, z calibration: 0.00906126387417316
x calibration: 0.00697820074856281, y calibration: 0.00784043129533529, z calibration: 0.00886017084121704
x calibration: 0.0025876930449158, y calibration: 0.00596156856045127, z calibration: 0.0131863104179502
x calibration: 0.00524595519527793, y calibration: 0.00381571985781193, z calibration: 0.00968929566442966
x calibration: 0.00480806548148394, y calibration: 0.0102262739092112, z calibration: 0.0105119086802006
x calibration: 0.00523786433041096, y calibration: 0.00185081968083978, z calibration: 0.00861721206456423
x calibration: 0.0056547443382442, y calibration: 0.00682552717626095, z calibration: 0.00920681934803724
x calibration: 0.00485675316303968, y calibration: 0.00524959806352854, z calibration: 0.0076537299901247
x calibration: 0.00233812350779772, y calibration: 0.00626156339421868, z calibration: 0.00528821488842368
x calibration: 0.00617321394383907, y calibration: 0.00417119264602661, z calibration: 0.00895939394831657
x calibration: 0.0057462127879262, y calibration: 0.00889178365468979, z calibration: 0.00809710845351219
x calibration: 0.00587873114272952, y calibration: 0.00804874766618013, z calibration: 0.0078541487455368
x calibration: 0.00693058967590332, y calibration: 0.000335627235472202, z calibration: 0.00818910263478756
x calibration: 0.00324332364834845, y calibration: 0.00398626178503036, z calibration: 0.005367630161345
x calibration: 0.00364091247320175, y calibration: 0.00650572869926691, z calibration: 0.00854512304067612
x calibration: 0.00721379276365042, y calibration: 0.00886178389191628, z calibration: 0.00974001176655292
x calibration: 0.0062462892383337, y calibration: 0.00818215124309063, z calibration: 0.0075408723205328
x calibration: 0.00350026367232204, y calibration: 0.00635968614369631, z calibration: 0.00685288431122899
x calibration: 0.000120258657261729, y calibration: 0.00741561083123088, z calibration: 0.00690761115401983
x calibration: 0.0050654225051403, y calibration: 0.00618551345542073, z calibration: 0.00890064146369696
x calibration: 0.00613506278023124, y calibration: 0.00562850572168827, z calibration: 0.00653161387890577
x calibration: 0.00596576277166605, y calibration: 0.00505676725879312, z calibration: 0.00922485813498497
x calibration: 0.00478128995746374, y calibration: 0.00296790525317192, z calibration: 0.00880555715411902
x calibration: 0.00628427229821682, y calibration: 0.00789976865053177, z calibration: 0.00562772294506431
