x calibration: 0.0044996733777225, y calibration: 0.0053402385674417, z calibration: 0.0117937810719013
x calibration: 0.00368491979315877, y calibration: 0.00749334087595344, z calibration: 0.00838139653205872
x calibration: 0.00482062390074134, y calibration: 0.00618077116087079, z calibration: 0.00730222370475531
x calibration: 0.00456971256062388, y calibration: 0.00611701793968678, z calibration: 0.00950920023024082
x calibration: 0.00513326469808817, y calibration: 0.007053695153445, z calibration: 0.00670517887920141
x calibration: 0.00550933787599206, y calibration: 0.00444256374612451, z calibration: 0.00744371907785535
x calibration: 0.00659877341240644, y calibration: 0.00762783363461494, z calibration: 0.00745886284857988
x calibration: 0.00578058650717139, y calibration: 0.0069011258892715, z calibration: 0.0114831365644932
x calibration: 0.00467328168451786, y calibration: 0.00782319530844688, z calibration: 0.00793434120714664
x calibration: 0.00547151966020465, y calibration: 0.00750139588490128, z calibration: 0.0109139867126942
x calibration: 0.00339162489399314, y calibration: 0.00547685474157333, z calibration: 0.0111811310052872
x calibration: 0.00373048963956535, y calibration: 0.00765743432566524, z calibration: 0.00799079425632954
x calibration: 0.00314464792609215, y calibration: 0.00512805813923478, z calibration: 0.0112359896302223
x calibration: 0.00379618536680937, y calibration: 0.00273064384236932, z calibration: 0.00522843282669783
x calibration: 0.00478023802861571, y calibration: 0.00769650330767036, z calibration: 0.00740846339613199
x calibration: 0.00478279590606689, y calibration: 0.00707802968099713, z calibration: 0.00888135004788637
x calibration: 0.00325172767043114, y calibration: 0.00544783845543861, z calibration: 0.00874579511582851
x calibration: 0.00447039678692818, y calibration: 0.00643885647878051, z calibration: 0.00732354307547212
x calibration: 0.00972741097211838, y calibration: 0.00766791217029095, z calibration: 0.00479132914915681
x calibration: 0.00400410313159227, y calibration: 0.00908831134438515, z calibration: 0.00784459710121155
x calibration: 0.00642929133027792, y calibration: 0.00953824445605278, z calibration: 0.00569417420774698
x calibration: 0.00604253867641091, y calibration: 0.00456438260152936, z calibration: 0.0132914409041405
x calibration: 0.00624925876036286, y calibration: 0.00657150335609913, z calibration: 0.00445521250367165
x calibration: 0.00818754453212023, y calibration: 0.00480542331933975, z calibration: 0.00730372592806816
