x calibration: 0.007982580922544, y calibration: 0.00605503376573324, z calibration: 0.00490304687991738
x calibration: 0.00251924060285091, y calibration: 0.00900918804109096, z calibration: 0.00573816616088152
x calibration: 0.00882616825401783, y calibration: 0.00344542879611254, z calibration: 0.00950049050152302
x calibration: 0.00292535685002804, y calibration: 0.00324027147144079, z calibration: 0.00928132236003876
x calibration: 0.00708709936589003, y calibration: 0.00802170485258102, z calibration: 0.00313392467796802
x calibration: 0.000350299756973982, y calibration: 0.0148267913609743, z calibration: 0.0123120117932558
x calibration: 0.00405522808432579, y calibration: 0.00916231237351894, z calibration: 0.0064050923101604
x calibration: 0.00515719270333648, y calibration: 0.0017307298257947, z calibration: 0.00744565622881055
x calibration: 0.0060169561766088, y calibration: 0.00516974600031972, z calibration: 0.0108636636286974
x calibration: 0.00899125263094902, y calibration: 0.00405433028936386, z calibration: 0.0084136500954628
x calibration: 0.00944887939840555, y calibration: 0.00380532303825021, z calibration: 0.0076259165070951
x calibration: 0.00548844691365957, y calibration: 0.0119587322697043, z calibration: 0.0127194616943598
x calibration: 0.00519033148884773, y calibration: 0.00309381866827607, z calibration: 0.00850247219204903
x calibration: 0.00679011968895793, y calibration: 0.0030564209446311, z calibration: 0.0062725548632443
x calibration: 0.00253006559796631, y calibration: 0.00404584594070911, z calibration: 0.00701632304117084
x calibration: 0.00779684586450458, y calibration: 0.00569104216992855, z calibration: 0.00890367850661278
x calibration: 0.00850675627589226, y calibration: 0.00860658288002014, z calibration: 0.00476953852921724
x calibration: 0.00691572157666087, y calibration: 0.00673953769728541, z calibration: 0.0111158294603229
x calibration: 0.00688857631757855, y calibration: 0.00655595725402236, z calibration: 0.00989405065774918
x calibration: 0.00326623814180493, y calibration: 0.0104282703250647, z calibration: 0.00635887822136283
x calibration: 0.00630627945065498, y calibration: 0.00978627800941467, z calibration: 0.00663624564185739
x calibration: 0.00550192687660456, y calibration: 0.00531292194500566, z calibration: 0.00581741007044911
x calibration: 0.00348128168843687, y calibration: 0.00574212335050106, z calibration: 0.00658478960394859
x calibration: 0.00555991800501943, y calibration: 0.00590392388403416, z calibration: 0.00935239903628826
x calibration: 0.00678637390956283, y calibration: 0.00934048555791378, z calibration: 0.0115296468138695
x calibration: 0.00604237290099263, y calibration: 0.00576288951560855, z calibration: 0.00564436381682754
x calibration: 0.00546607561409473, y calibration: 0.00383176282048225, z calibration: 0.00595350516960025
x calibration: 0.00572589598596096, y calibration: 0.0065862750634551, z calibration: 0.00681374222040176
x calibration: 0.00858624652028084, y calibration: 0.00457997620105743, z calibration: 0.00576922483742237
x calibration: 0.00568763492628932, y calibration: 0.00579014467075467, z calibration: 0.00520797027274966
x calibration: 0.00653899228200316, y calibration: 0.00582678662613034, z calibration: 0.00960221141576767
x calibration: 0.00481774192303419, y calibration: 0.00661164848133922, z calibration: 0.00550832459703088
x calibration: 0.00314218085259199, y calibration: 0.00459027383476496, z calibration: 0.00825993716716766
x calibration: 0.00529779307544231, y calibration: 0.00954302307218313, z calibration: 0.00791932456195354
x calibration: 0.00663215387612581, y calibration: 0.00579659873619676, z calibration: 0.0046981843188405
x calibration: 0.0053538721986115, y calibration: 0.00674659432843328, z calibration: 0.00845321081578732
x calibration: 0.00426559476181865, y calibration: 0.0051611321978271, z calibration: 0.00829700939357281
x calibration: 0.00318265240639448, y calibration: 0.00642988970503211, z calibration: 0.00463426159694791
x calibration: 0.00597955705597997, y calibration: 0.00778528675436974, z calibration: 0.00880955345928669
x calibration: 0.00650933058932424, y calibration: 0.00627370690926909, z calibration: 0.00889052823185921
x calibration: 0.00398701103404164, y calibration: 0.00886472221463919, z calibration: 0.00748404348269105
x calibration: 0.00483195949345827, y calibration: 0.00682404031977058, z calibration: 0.00884751323610544
x calibration: 0.00473057059571147, y calibration: 0.00755556020885706, z calibration: 0.00942576862871647
x calibration: 0.00417516613379121, y calibration: 0.0061396355740726, z calibration: 0.00660278042778373
x calibration: 0.0049561383202672, y calibration: 0.00594174675643444, z calibration: 0.0058431695215404
x calibration: 0.0041844523511827, y calibration: 0.00795133970677853, z calibration: 0.00799367763102055
x calibration: 0.00472904415801168, y calibration: 0.00348907429724932, z calibration: 0.00704856403172016
x calibration: 0.00444123847410083, y calibration: 0.0073684100061655, z calibration: 0.00885389931499958
x calibration: 0.00514507200568914, y calibration: 0.00584051618352532, z calibration: 0.00889118202030659
x calibration: 0.0015990745741874, y calibration: 0.00440088380128145, z calibration: 0.00745081901550293
x calibration: 0.00472780363634229, y calibration: 0.00595681834965944, z calibration: 0.00593689270317554
x calibration: 0.00607579806819558, y calibration: 0.0064275641925633, z calibration: 0.00613843137398362
x calibration: 0.00462251482531428, y calibration: 0.00851007737219334, z calibration: 0.00771005358546972
x calibration: 0.0057004471309483, y calibration: 0.00527883321046829, z calibration: 0.00453804573044181
x calibration: 0.0022226432338357, y calibration: 0.00626504933461547, z calibration: 0.00892368983477354
x calibration: 0.00525418436154723, y calibration: 0.00649802247062326, z calibration: 0.0107175195589662
x calibration: 0.00191906653344631, y calibration: 0.00704077305272222, z calibration: 0.00922023318707943
x calibration: 0.00171001488342881, y calibration: 0.00793101452291012, z calibration: 0.00481440825387836
x calibration: 0.00486954627558589, y calibration: 0.00840506702661514, z calibration: 0.00798419304192066
x calibration: 0.00657736789435148, y calibration: 0.00594548461958766, z calibration: 0.0087458398193121
x calibration: 0.00682511553168297, y calibration: 0.00696780253201723, z calibration: 0.00617320835590363
x calibration: 0.00471938028931618, y calibration: 0.00619671260938048, z calibration: 0.00783075205981731
x calibration: 0.00447401404380798, y calibration: 0.00437618140131235, z calibration: 0.0108212484046817
x calibration: 0.0031229997985065, y calibration: 0.00809872522950172, z calibration: 0.00822625495493412
x calibration: 0.00538413785398006, y calibration: 0.013110569678247, z calibration: 0.0046251667663455
x calibration: 0.00317841861397028, y calibration: 0.00707931071519852, z calibration: 0.00869381800293922
x calibration: 0.00449503678828478, y calibration: 0.00884562265127897, z calibration: 0.0087080467492342
x calibration: 0.0071362447924912, y calibration: 0.00553078018128872, z calibration: 0.0093703018501401
x calibration: 0.00515549816191196, y calibration: 0.00771078327670693, z calibration: 0.00814180914312601
x calibration: 0.0036291042342782, y calibration: 0.00644218409433961, z calibration: 0.00428023608401418
x calibration: 0.000910727540031076, y calibration: 0.0118059627711773, z calibration: 0.00928377266973257
x calibration: 0.00579187739640474, y calibration: 0.00719574186950922, z calibration: 0.00879245810210705
x calibration: 0.00390576384961605, y calibration: 0.00784236937761307, z calibration: 0.00916378386318684
x calibration: 0.00679057091474533, y calibration: 0.00935983844101429, z calibration: 0.00868108123540878
x calibration: 0.00558984745293856, y calibration: 0.00436292495578527, z calibration: 0.00812547281384468
x calibration: 0.00466773472726345, y calibration: 0.0069931261241436, z calibration: 0.0109035763889551
x calibration: 0.00525429425761104, y calibration: 0.00738898618146777, z calibration: 0.0082671819254756
x calibration: 0.00398958846926689, y calibration: 0.0073642791248858, z calibration: 0.00774734234437346
x calibration: 0.00515017658472061, y calibration: 0.00685221422463656, z calibration: 0.00973675400018692
x calibration: 0.00683526275679469, y calibration: 0.00690975273028016, z calibration: 0.00772943487390876
x calibration: 0.00793429277837276, y calibration: 0.00775595987215638, z calibration: 0.00807330943644047
x calibration: 0.00161086930893362, y calibration: 0.00695537496358156, z calibration: 0.00539931142702699
x calibration: 0.00440195668488741, y calibration: 0.00738098425790668, z calibration: 0.00708950916305184
x calibration: 0.0100881680846214, y calibration: 0.00752628361806274, z calibration: 0.0114070605486631
x calibration: 0.00381947541609406, y calibration: 0.00538319302722812, z calibration: 0.00638696784153581
x calibration: 0.00079211825504899, y calibration: 0.00806188397109508, z calibration: 0.00406211707741022
x calibration: 0.00516658741980791, y calibration: 0.00706955883651972, z calibration: 0.00866067409515381
x calibration: 0.00606914609670639, y calibration: 0.0043619628995657, z calibration: 0.0064764660783112
x calibration: 0.00604078127071261, y calibration: 0.00615594256669283, z calibration: 0.0131579600274563
x calibration: 0.00380785157904029, y calibration: 0.00877038389444351, z calibration: 0.00827894173562527
x calibration: 0.000542442314326763, y calibration: 0.00672975461930037, z calibration: 0.00597102241590619
x calibration: 0.0046949815005064, y calibration: 0.0040514268912375, z calibration: 0.00601953594014049
x calibration: 0.00414678221568465, y calibration: 0.00387470331043005, z calibration: 0.0107997935265303
x calibration: 0.00556782307103276, y calibration: 0.0107923652976751, z calibration: 0.00573826255276799
x calibration: 0.00813738908618689, y calibration: 0.0023307534866035, z calibration: 0.00875438190996647
x calibration: 0.00126112531870604, y calibration: 0.00892913900315762, z calibration: 0.00844852067530155
x calibration: 0.00666562141850591, y calibration: 0.00611300393939018, z calibration: 0.00956594571471214
x calibration: 0.00317082623951137, y calibration: 0.00902338698506355, z calibration: 0.00435497518628836
