x calibration: 0.00528173288330436, y calibration: 0.00555844651535153, z calibration: 0.00938910059630871
x calibration: 0.00490575889125466, y calibration: 0.0045025167055428, z calibration: 0.0105297695845366
x calibration: 0.00601609190925956, y calibration: 0.00492088031023741, z calibration: 0.00827719829976559
x calibration: 0.00398093741387129, y calibration: 0.00229659769684076, z calibration: 0.00660964800044894
x calibration: 0.00683432165533304, y calibration: 0.00341869122348726, z calibration: 0.00746155343949795
x calibration: 0.008219956420362, y calibration: 0.00908584520220756, z calibration: 0.00803615339100361
x calibration: 0.00562555342912674, y calibration: 0.0107860881835222, z calibration: 0.00895732082426548
x calibration: 0.00379939004778862, y calibration: 0.00411447882652283, z calibration: 0.00887557957321405
x calibration: 0.00706042116507888, y calibration: 0.00484009552747011, z calibration: 0.00685296067968011
x calibration: 0.00667425757274032, y calibration: 0.00292951287701726, z calibration: 0.00585493072867394
x calibration: 0.00542219588533044, y calibration: 0.00706540327519178, z calibration: 0.00787870585918426
x calibration: 0.00443865638226271, y calibration: 0.00568902166560292, z calibration: 0.00661851139739156
x calibration: 0.00546125089749694, y calibration: 0.00380673492327332, z calibration: 0.00765084940940142
x calibration: 0.00569937285035849, y calibration: 0.00492329522967339, z calibration: 0.00756597891449928
x calibration: 0.00431081233546138, y calibration: 0.0071526956744492, z calibration: 0.00692744366824627
x calibration: 0.00408435706049204, y calibration: 0.00461997417733073, z calibration: 0.00757332146167755
x calibration: 0.00488576153293252, y calibration: 0.00590328453108668, z calibration: 0.00754735851660371
x calibration: 0.0064509678632021, y calibration: 0.00697486894205213, z calibration: 0.00644624652341008
x calibration: 0.00697349198162556, y calibration: 0.00952478498220444, z calibration: 0.00793833658099174
x calibration: 0.0057683801278472, y calibration: 0.00568055361509323, z calibration: 0.012624473311007
x calibration: 0.00485348189249635, y calibration: 0.00621957797557116, z calibration: 0.00524582248181105
x calibration: 0.00540545908734202, y calibration: 0.00785244256258011, z calibration: 0.00853422656655312
x calibration: 0.00511630019173026, y calibration: 0.00504617113620043, z calibration: 0.00830812472850084
x calibration: 0.00696787564083934, y calibration: 0.00867780204862356, z calibration: 0.00671922042965889
x calibration: 0.00438200309872627, y calibration: 0.00746212294325232, z calibration: 0.00915310718119144
x calibration: 0.00320405978709459, y calibration: 0.00679870042949915, z calibration: 0.00637444900348782
x calibration: 0.00687385722994804, y calibration: 0.00275198183953762, z calibration: 0.008948122151196
x calibration: 0.00650737667456269, y calibration: 0.00769267417490482, z calibration: 0.00735760107636452
x calibration: 0.00186340371146798, y calibration: 0.00722665805369616, z calibration: 0.0108291693031788
x calibration: 0.00324653554707766, y calibration: 0.00735578965395689, z calibration: 0.00615312531590462
x calibration: 0.00351006584241986, y calibration: 0.00218235282227397, z calibration: 0.00786967854946852
x calibration: 0.00704051740467548, y calibration: 0.00788012519478798, z calibration: 0.00655739614740014
x calibration: 0.00496125314384699, y calibration: 0.0101166144013405, z calibration: 0.0105062704533339
x calibration: 0.00538926525041461, y calibration: 0.00142769748345017, z calibration: 0.0063710268586874
