x calibration: 0.00838106498122215, y calibration: 0.00560070294886828, z calibration: 0.00725417770445347
x calibration: 0.00474089337512851, y calibration: 0.00698070740327239, z calibration: 0.00555789330974221
x calibration: 0.00802937150001526, y calibration: 0.00533021986484528, z calibration: 0.00970222242176533
x calibration: 0.00494275381788611, y calibration: 0.00306248897686601, z calibration: 0.0084430854767561
x calibration: 0.00405288906767964, y calibration: 0.00596182839944959, z calibration: 0.00758123118430376
x calibration: 0.00565685983747244, y calibration: 0.00792789459228516, z calibration: 0.00777352787554264
x calibration: 0.005797712597996, y calibration: 0.00304670678451657, z calibration: 0.0102335046976805
x calibration: 0.00544876093044877, y calibration: 0.0081906346604228, z calibration: 0.00587714882567525
x calibration: 0.00423828093335032, y calibration: 0.00756502710282803, z calibration: 0.0116780260577798
x calibration: 0.00430127466097474, y calibration: 0.00273644225671887, z calibration: 0.00884019769728184
x calibration: 0.00691809132695198, y calibration: 0.00516740046441555, z calibration: 0.00982785783708096
x calibration: 0.00942704174667597, y calibration: 0.00474694045260549, z calibration: 0.00883723143488169
x calibration: 0.0076074656099081, y calibration: 0.00565451104193926, z calibration: 0.00501870596781373
x calibration: 0.00696146953850985, y calibration: 0.00733393616974354, z calibration: 0.00729441968724132
x calibration: 0.00410129735246301, y calibration: 0.00808402337133884, z calibration: 0.00642542354762554
x calibration: 0.00755566079169512, y calibration: 0.00692062033340335, z calibration: 0.00476889312267304
x calibration: 0.00555947329849005, y calibration: 0.0109457168728113, z calibration: 0.00595518853515387
x calibration: 0.00364856142550707, y calibration: 0.0100169517099857, z calibration: 0.00907920114696026
x calibration: 0.00395343033596873, y calibration: 0.00761060742661357, z calibration: 0.0106853619217873
x calibration: 0.0020619947463274, y calibration: 0.00751074124127626, z calibration: 0.00597195420414209
x calibration: 0.00575633626431227, y calibration: 0.00653795199468732, z calibration: 0.00613246392458677
x calibration: 0.00495554367080331, y calibration: 0.00503711309283972, z calibration: 0.0097292885184288
x calibration: 0.00371633423492312, y calibration: 0.00850631669163704, z calibration: 0.00968478433787823
x calibration: 0.00169201986864209, y calibration: 0.00426093814894557, z calibration: 0.00657083839178085
x calibration: 0.00563282985240221, y calibration: 0.0102394605055451, z calibration: 0.00705755362287164
x calibration: 0.005368631798774, y calibration: 0.00776666775345802, z calibration: 0.00994829460978508
x calibration: 0.00606380868703127, y calibration: 0.00645936699584126, z calibration: 0.0068335123360157
x calibration: 0.00521279126405716, y calibration: 0.00388363702222705, z calibration: 0.00654769130051136
x calibration: 0.00588370533660054, y calibration: 0.00572383124381304, z calibration: 0.0101407105103135
x calibration: 0.00416551670059562, y calibration: 0.00657971017062664, z calibration: 0.00628742575645447
x calibration: 0.00364795280620456, y calibration: 0.00808794796466827, z calibration: 0.00703779608011246
x calibration: 0.00431636348366737, y calibration: 0.00636166147887707, z calibration: 0.0104470923542976
x calibration: 0.00740142771974206, y calibration: 0.00524586765095592, z calibration: 0.00981429405510426
x calibration: 0.00506696663796902, y calibration: 0.00655109155923128, z calibration: 0.00898113008588552
x calibration: 0.00325610255822539, y calibration: 0.00515972776338458, z calibration: 0.00574528053402901
x calibration: 0.00756878312677145, y calibration: 0.00156412972137332, z calibration: 0.00906232930719852
x calibration: 0.00698781386017799, y calibration: 0.00663346936926246, z calibration: 0.00738601852208376
x calibration: 0.0050617465749383, y calibration: 0.00634485716000199, z calibration: 0.00773194385692477
