x calibration: 0.00363903678953648, y calibration: 0.00385366613045335, z calibration: 0.00895607471466064
x calibration: 0.00471371412277222, y calibration: 0.00751131540164352, z calibration: 0.00806858576834202
x calibration: 0.00410537561401725, y calibration: 0.00379885220900178, z calibration: 0.00749610271304846
x calibration: 0.00257491716183722, y calibration: 0.00683068484067917, z calibration: 0.00853445567190647
x calibration: 0.00540958577767014, y calibration: 0.00630258023738861, z calibration: 0.00792139582335949
x calibration: 0.00646486924961209, y calibration: 0.00630909716710448, z calibration: 0.00770936207845807
x calibration: 0.00432311976328492, y calibration: 0.00674477592110634, z calibration: 0.00734880287200212
x calibration: 0.0062988568097353, y calibration: 0.00703348685055971, z calibration: 0.00162729062139988
x calibration: 0.00447385758161545, y calibration: 0.00451517011970282, z calibration: 0.00690165534615517
x calibration: 0.00661528715863824, y calibration: 0.00788706168532372, z calibration: 0.00741035211831331
x calibration: 0.00517096417024732, y calibration: 0.00829622428864241, z calibration: 0.00948907434940338
x calibration: 0.00515211373567581, y calibration: 0.0075200810097158, z calibration: 0.00657711643725634
x calibration: 0.00570205831900239, y calibration: 0.00589521881192923, z calibration: 0.00621245056390762
x calibration: 0.00345823960378766, y calibration: 0.00582209322601557, z calibration: 0.00684286234900355
x calibration: 0.00669089984148741, y calibration: 0.00645106146112084, z calibration: 0.00434711668640375
x calibration: 0.00156396953389049, y calibration: 0.0086918156594038, z calibration: 0.00803078711032867
x calibration: 0.00532530155032873, y calibration: 0.0066628442145884, z calibration: 0.0103855328634381
x calibration: 0.00544608663767576, y calibration: 0.00793042685836554, z calibration: 0.00700368825346232
x calibration: 0.00337060866877437, y calibration: 0.00770595436915755, z calibration: 0.00849135965108872
x calibration: 0.00750339590013027, y calibration: 0.0078295636922121, z calibration: 0.0101687964051962
x calibration: 0.00288947811350226, y calibration: 0.0036309571005404, z calibration: 0.00573431560769677
x calibration: 0.00756043195724487, y calibration: 0.00493633188307285, z calibration: 0.00501848757266998
x calibration: 0.00246408907696605, y calibration: 0.00545578543096781, z calibration: 0.00721279950812459
x calibration: 0.00623587798327208, y calibration: 0.00569143425673246, z calibration: 0.00766379293054342
x calibration: 0.0058363564312458, y calibration: 0.00497269351035356, z calibration: 0.00813420210033655
x calibration: 0.00573384948074818, y calibration: 0.00192961329594254, z calibration: 0.00991679262369871
x calibration: 0.00374776939861476, y calibration: 0.00208890065550804, z calibration: 0.00935799535363913
x calibration: 0.00487474631518126, y calibration: 0.00906955823302269, z calibration: 0.00679519167169929
x calibration: 0.00469127157703042, y calibration: 0.00601800251752138, z calibration: 0.00961186736822128
x calibration: 0.00260885572060943, y calibration: 0.00410052109509706, z calibration: 0.00849372148513794
x calibration: 0.00567080220207572, y calibration: 0.00850030407309532, z calibration: 0.00512300571426749
x calibration: 0.00856142677366734, y calibration: 0.00446206983178854, z calibration: 0.00492333713918924
x calibration: 0.00698999222368002, y calibration: 0.010268772020936, z calibration: 0.00829688459634781
x calibration: 0.00475377961993218, y calibration: 0.00727311475202441, z calibration: 0.00689485436305404
x calibration: 0.00483135133981705, y calibration: 0.00863893888890743, z calibration: 0.00641497829928994
x calibration: 0.00724561791867018, y calibration: 0.00243178801611066, z calibration: 0.0123291499912739
x calibration: 0.00441910792142153, y calibration: 0.00428105238825083, z calibration: 0.0107698235660791
x calibration: 0.00690985564142466, y calibration: 0.00642790645360947, z calibration: 0.00646917195990682
x calibration: 0.00529128545895219, y calibration: 0.00149927940219641, z calibration: 0.00716267758980393
x calibration: 0.00851182080805302, y calibration: 0.0117754265666008, z calibration: 0.00604115147143602
x calibration: 0.0037037068977952, y calibration: 0.00781375449150801, z calibration: 0.00925476755946875
x calibration: 0.00682214554399252, y calibration: 0.00251778541132808, z calibration: 0.00583616876974702
x calibration: 0.00334127247333527, y calibration: 0.00603289436548948, z calibration: 0.0111185340210795
x calibration: 0.00346646830439568, y calibration: 0.00572370458394289, z calibration: 0.00736401882022619
x calibration: 0.00347662484273314, y calibration: 0.00761294597759843, z calibration: 0.00640107970684767
x calibration: 0.00503546139225364, y calibration: 0.00587130850180984, z calibration: 0.00685565825551748
x calibration: 0.00399391772225499, y calibration: 0.00535012828186154, z calibration: 0.00921311788260937
