x calibration: 0.00818110536783934, y calibration: 0.00587809132412076, z calibration: 0.00853716116398573
x calibration: 0.00109883164986968, y calibration: 0.00926958117634058, z calibration: 0.00808596797287464
x calibration: 0.00371903041377664, y calibration: 0.00199092645198107, z calibration: 0.00765374395996332
x calibration: 0.00450942199677229, y calibration: 0.00637148134410381, z calibration: 0.00585702899843454
x calibration: 0.005361283197999, y calibration: 0.00416230363771319, z calibration: 0.012683748267591
x calibration: 0.00383597612380981, y calibration: 0.00837433710694313, z calibration: 0.00880916975438595
x calibration: 0.00415874179452658, y calibration: 0.0071952398866415, z calibration: 0.00784479081630707
x calibration: 0.00429076049476862, y calibration: 0.00907544232904911, z calibration: 0.0136668169870973
x calibration: 0.0042147315107286, y calibration: 0.00531511614099145, z calibration: 0.00745072355493903
x calibration: 0.00622264528647065, y calibration: 0.00745316594839096, z calibration: 0.00554035883396864
x calibration: 0.00840985588729382, y calibration: 0.00175712956115603, z calibration: 0.00708155985921621
x calibration: 0.00593203818425536, y calibration: 0.00680892961099744, z calibration: 0.00885546021163464
x calibration: 0.00343144731596112, y calibration: 0.00731924641877413, z calibration: 0.00875175651162863
x calibration: 0.0042370124720037, y calibration: 0.00253479648381472, z calibration: 0.0086959395557642
x calibration: 0.00460715312510729, y calibration: 0.00700075412169099, z calibration: 0.00726632727310061
x calibration: 0.00571113545447588, y calibration: 0.0015593902207911, z calibration: 0.0083092013373971
x calibration: 0.0053825699724257, y calibration: 0.00713252602145076, z calibration: 0.00512076495215297
x calibration: 0.00512482272461057, y calibration: 0.00564993591979146, z calibration: 0.00773864705115557
x calibration: 0.00728987110778689, y calibration: 0.00760477967560291, z calibration: 0.00410097232088447
x calibration: 0.006159832701087, y calibration: 0.00818143971264362, z calibration: 0.00687667308375239
x calibration: 0.00508821615949273, y calibration: 0.00912840478122234, z calibration: 0.00701281009241939
x calibration: 0.00243463320657611, y calibration: 0.00625011883676052, z calibration: 0.0085130762308836
x calibration: 0.00708544068038464, y calibration: 0.0074483435600996, z calibration: 0.00353245949372649
x calibration: 0.00629235478118062, y calibration: 0.00923976488411426, z calibration: 0.00923902727663517
x calibration: 0.0041666985489428, y calibration: 0.00670400261878967, z calibration: 0.00999148003757
x calibration: 0.00180957559496164, y calibration: 0.00533549906685948, z calibration: 0.00497816363349557
x calibration: 0.00359960971400142, y calibration: 0.00466978643089533, z calibration: 0.0122991763055325
x calibration: 0.00541391409933567, y calibration: 0.00496969139203429, z calibration: 0.00790577940642834
x calibration: 0.00441941665485501, y calibration: 0.00262948824092746, z calibration: 0.00686850771307945
x calibration: 0.00390095869079232, y calibration: 0.010056035593152, z calibration: 0.00902856327593327
x calibration: 0.00745459645986557, y calibration: 0.00546798342838883, z calibration: 0.0108657814562321
x calibration: 0.00556892435997724, y calibration: 0.00745590263977647, z calibration: 0.00887960009276867
x calibration: 0.00665851542726159, y calibration: 0.00666139321401715, z calibration: 0.0103547060862184
x calibration: 0.00245583476498723, y calibration: 0.0048465090803802, z calibration: 0.00576852494850755
x calibration: 0.00558889657258987, y calibration: 0.00709859002381563, z calibration: 0.00448890635743737
x calibration: 0.004819605499506, y calibration: 0.00834195967763662, z calibration: 0.0126232365146279
x calibration: 0.00389977917075157, y calibration: 0.00669671129435301, z calibration: 0.00782796554267406
x calibration: 0.00419068289920688, y calibration: 0.00688148895278573, z calibration: 0.00442256545647979
