x calibration: 0.00536425085738301, y calibration: 0.00619387766346335, z calibration: 0.00739437434822321
x calibration: 0.00303418049588799, y calibration: 0.00415559113025665, z calibration: 0.0079026473686099
x calibration: 0.00349119119346142, y calibration: 0.00505058327689767, z calibration: 0.0106165762990713
x calibration: 0.003951714374125, y calibration: 0.00554940942674875, z calibration: 0.0125779109075665
x calibration: 0.00439291400834918, y calibration: 0.00437645195052028, z calibration: 0.00918456539511681
x calibration: 0.00382744334638119, y calibration: 0.00638384791091084, z calibration: 0.0096962358802557
x calibration: 0.00584344891831279, y calibration: 0.00554049899801612, z calibration: 0.00779742561280727
x calibration: 0.00438079982995987, y calibration: 0.00661502778530121, z calibration: 0.00979879032820463
x calibration: 0.00631096586585045, y calibration: 0.0102316569536924, z calibration: 0.00680992938578129
x calibration: 0.00196719402447343, y calibration: 0.00545673444867134, z calibration: 0.00598299968987703
x calibration: 0.0075611132197082, y calibration: 0.00880264025181532, z calibration: 0.00619851564988494
x calibration: 0.00632945587858558, y calibration: 0.00589900417253375, z calibration: 0.00742824096232653
x calibration: 0.00784881599247456, y calibration: 0.0034027430228889, z calibration: 0.0106280781328678
x calibration: 0.0060207792557776, y calibration: 0.0063464748673141, z calibration: 0.00724575947970152
x calibration: 0.00545768020674586, y calibration: 0.00975474808365107, z calibration: 0.00838213600218296
x calibration: 0.00553197599947453, y calibration: 0.00844188965857029, z calibration: 0.00863234046846628
x calibration: 0.0054876278154552, y calibration: 0.00493226479738951, z calibration: 0.00750936847180128
x calibration: 0.0050650117918849, y calibration: 0.00553395738825202, z calibration: 0.00776437902823091
x calibration: 0.0045670154504478, y calibration: 0.00532677443698049, z calibration: 0.0101633053272963
x calibration: 0.00743467174470425, y calibration: 0.00543473660945892, z calibration: 0.00816274899989366
x calibration: 0.00415108213201165, y calibration: 0.00537254335358739, z calibration: 0.00841255858540535
x calibration: 0.00222086743451655, y calibration: 0.00662515452131629, z calibration: 0.00799398496747017
x calibration: 0.00467586936429143, y calibration: 0.00836224295198917, z calibration: 0.0111446138471365
x calibration: 0.00396373029798269, y calibration: 0.00356988701969385, z calibration: 0.00862991996109486
x calibration: 0.00977766700088978, y calibration: 0.00774399843066931, z calibration: 0.00689018284901977
x calibration: 0.00731807993724942, y calibration: 0.00533473771065474, z calibration: 0.00686484575271606
x calibration: 0.00560235278680921, y calibration: 0.00537687493488193, z calibration: 0.00830326043069363
x calibration: 0.00195325165987015, y calibration: 0.00389043241739273, z calibration: 0.00596923660486937
x calibration: 0.00414557289332151, y calibration: 0.00799034908413887, z calibration: 0.00311093358322978
x calibration: 0.00458550592884421, y calibration: 0.0028371037915349, z calibration: 0.0128519963473082
x calibration: 0.00639098742976785, y calibration: 0.00721814390271902, z calibration: 0.00256043812260032
x calibration: 0.00550273852422833, y calibration: 0.00501080369576812, z calibration: 0.00756409671157598
x calibration: 0.00549965817481279, y calibration: 0.00910515151917934, z calibration: 0.00776714738458395
x calibration: 0.0063256099820137, y calibration: 0.00936739519238472, z calibration: 0.00582744926214218
x calibration: 0.0022973648738116, y calibration: 0.00576388463377953, z calibration: 0.00648382445797324
